no,Firstname,Lastname,Registration no,Email,Group no
1,Amina,Bakari,2011-04-0001,stud1@localhost.com,1
2,Juma,Hamis,2011-04-0002,stud2@localhost.com,1
3,Given,Joshua,2011-04-0003,stud3@localhost.com,1
4,Devid,Jacob,2011-04-0004,stud4@localhost.com,2
5,Jaqueline,Tesha,2011-04-0005,stud5@localhost.com,2
6,Mercy,Jackson,2011-04-0006,stud6@localhost.com,2
7,Royda,Josephat,2011-04-0007,stud7@localhost.com,3
8,Trinity,Jordan,2011-04-0008,stud8@localhost.com,3
9,Lebron,James,2011-04-0009,stud9@localhost.com,3
10,Demar,Derozan,2011-04-0010,stud10@localhost.com,4
